Company Name,Ticker,Financials,,,,,,,,,Valuation,,,,,,,Growth,,,,,Risk,,,,,,News,,,Outlook,,,,,,,,Buffett,,,,,,Technical,,,Sentiment,,,Extras,,,,Composites,,,,
,,Score,Gross Margins (norm),Operating Margins (norm),Net Margins (norm),Revenue Growth (norm),Earnings Growth (norm),FCF Margin (norm),Debt/Equity (lower-better norm),,Score,Trailing P/E (lower-better norm),Forward P/E (lower-better norm),P/B (lower-better norm),EV/EBITDA (lower-better norm),Dividend Yield (norm),,Score,Earnings Growth (norm),Revenue Growth (norm),Return on Equity (norm),,Score,Debt/Equity (lower-better norm),Current Ratio (norm),Quick Ratio (norm),Beta (lower-better norm),,Score,Target Premium (norm),,Score,P/E (lower-better norm),P/B (lower-better norm),Dividend Yield (norm),FCF Margin (norm),EPS Growth (norm),Debt/Equity (lower-better norm),,Score,Dividend Yield (norm),Debt/Equity (lower-better norm),Return on Equity (norm),FCF Margin (norm),,Score,Change % (norm),,Score,Recommendation Mean (lower-better norm),,FCF Yield,ROIC/ROE,Interest Coverage,Composite_ST_LR,Composite_ST,Composite_LT_LR,Composite_LT
,,Score agregado [0..1] do grupo,Normalized [0..1], higher better; gross margins; good ~20%-60%,Normalized [0..1], higher better; operating margins; good ~5%-30%,Normalized [0..1], higher better; net margins; good ~2%-25%,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1], lower better; range ~4–20,Normalized [0..1] of dividend yield ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1], higher better; range ~5%–25%,,Score agregado [0..1] do grupo,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~1.2–3.0,Normalized [0..1], higher better; range ~1.0–2.5,Normalized [0..1], lower beta is better; range ~0.8–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of (targetMeanPrice - price)/price; higher better; range ~5%–30%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35; uses Fwd/Trailing,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~10%–30%,Normalized [0..1] of free cash flow margin ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of recent change %; higher better; range ~-2%–+5%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~1.0–4.0,,Free cash flow divided by market cap; raw ratio,Return on assets or equity; raw value,Ability to cover interest expenses; raw value,Short-term (low risk) weighted composite,Short-term momentum/valuation composite,Long-term (low risk) weighted composite,Long-term growth/quality composite
"USA Rare Earth, Inc.","USAR","0","0","0","","","","","","","2","","1","","1","","","0","","","","","3","","1","1","1","","0","0","","1","1","","","","","","","0","","","","","","1","1","","1","1","","-0.004008405314058225","-0.13926","","1.6","1","1.0000000000000002","0.8"
"Semler Scientific, Inc.","SMLR","2","1","0","","0","1","1","0","","1.9547129433962263","","1","0.9547129433962264","0","","","1.55215","1","0","0.5521499999999999","","0.48749999999999993","0","0","0","0.48749999999999993","","1","1","","0.8543731020583191","1","0.9547129433962264","","1","1","0","","1.30215","","0","0.3021499999999999","1","","0.035181414285714266","0.035181414285714266","","0","","","0.09719013969370553","0.0107","","1.20149118748346","1.2272870187061995","1.4016817517152655","1.4310840619210978"
"Baidu, Inc.","BIDU","1.6800882215021282","0.679625","0.20067999999999997","","0","1","0.7997832215021281","0","","2.622125","","1","1","0.622125","","","1.23735","1","0","0.23734999999999998","","1.7594444444444446","0","0.35944444444444446","0.4000000000000001","1","","0","0","","0.8226829316708898","1","1","","0.7997832215021281","1","0","","0.7997832215021281","","0","0","0.7997832215021281","","0.758812857142857","0.758812857142857","","0.7291666666666667","0.7291666666666667","","0.6101048950917368","0.02558","","1.7393993065151336","1.420853999098335","1.5314482038821484","1.4591332472292609"
"Warner Bros. Discovery, Inc.","WBD","0.6474000500000001","0.6074000500000001","0","","0.04","","1","0","","2.5634981698113206","","1","0.9017481698113208","0.66175","","","0.04","","0.04","0","","0.21916666666666662","0","0","0","0.21916666666666662","","0","0","","0.8033066722371968","1","0.9017481698113208","","1","","0","","1","","0","0","1","","0.8538014285714285","0.8538014285714285","","0.5833333333333333","0.5833333333333333","","0.4154690169669677","0.00937","","1.0038153625336925","0.9366615023337825","0.9529087410287511","0.8065827365858041"
"Spyre Therapeutics, Inc.","SYRE","0","0","0","","","","","","","1.413704283018868","","1","0.41370428301886797","","","","0","","","0","","2","","1","1","0","","1","1","","0.7361669273584905","1","0.41370428301886797","","","","","","0","","","0","","","0.11778001428571429","0.11778001428571429","","0.95238","0.95238","","-0.0348914017039416","-0.28483","","1.0388207649191374","0.72698207361186","0.6856723351886792","0.5592890279245284"
"Viking Therapeutics, Inc.","VKTX","0","0","0","","","","","1","","1.2285147169811321","","1","0.22851471698113213","","","","0","","","0","","4","1","1","1","1","","1","1","","0.7329474020319303","1","0.22851471698113213","","","","1","","1","","1","0","","","0.4347","0.4347","","0.8431366666666666","0.8431366666666666","","-0.026777575830512674","-0.14991","","1.6238934194484758","0.944068679245283","1.3075719477503627","0.8308666879535559"
"Tonix Pharmaceuticals Holding Corp.","TNXP","0.23187500000000003","0.23187500000000003","0","","0","","0","0.9227027027027027","","2.9620666981132073","","1","0.9620666981132076","1","","","0","","0","0","","3.021036036036036","0.9227027027027027","1","1","0.09833333333333338","","1","1","","0.7198518999781452","1","0.9620666981132076","","0","","0.9227027027027027","","0.9227027027027027","","0.9227027027027027","0","0","","0","0","","0","","","-0.24138458461606213","-0.39966","","1.765187675336927","1.2274015281319055","1.4207405775976785","1.029029258586484"
"Qorvo, Inc.","QRVO","1.3280352030336897","0.5716250500000001","0","","0","1","0.7564101530336895","0","","1.9206198770331815","","0.7719271034482759","0.6841927735849056","0.4645","","","1","1","0","0","","1.9716666666666667","0","0.8966666666666667","0.5933333333333333","0.4816666666666667","","0.25287943585077344","0.25287943585077344","","0.6921960108522363","0.7719271034482759","0.6841927735849056","","0.7564101530336895","1","0","","0.7564101530336895","","0","0","0.7564101530336895","","1","1","","0.42307666666666666","0.42307666666666666","","0.08475500949877421","0.03923","","1.556481610950257","1.2644588317576315","1.3391590151420636","1.214946906302198"
"CorMedix Inc.","CRMD","3.3523692438910064","1","1","","1","","0.3523692438910065","0.9745945945945946","","1.9554279716981133","","1","0.45699047169811324","0.4984375","","","2","","1","1","","3.098761261261261","0.9745945945945946","1","1","0.12416666666666665","","1","1","","0.6894801430819898","1","0.45699047169811324","","0.3523692438910065","","0.9745945945945946","","2.326963838485601","","0.9745945945945946","1","0.3523692438910065","","0.08600714285714285","0.08600714285714285","","0.7142866666666667","0.7142866666666667","","0.01295841464160286","0.19865","","2.266507948675021","1.768789934205734","2.56946619510387","2.1442565831240024"
